ec_id,name,create_time
2,Sweetwater Springs,1609210380
4,Old Redwood Hwy,1609761540
11,Cloverdale,1623250843
12,Williams,1624920353
13,Jack Rabbit,1624924317
14,Ajax,1624928842
16,St Helena,1626137494
19,Clearlake Oaks,1628014565
20,Redwood City Tank,1628039831
21,Portland Willalatin Tank,1628209413
22,Portland Lookout Point,1628217595
23,Oak Knoll East,1628221035
24,Oak Knoll West,1628358919
25,Prather,1628710639
26,Santa Rosa Tank,1630344132
27,Henry Cowell,1630429780
28,Big Sky Deactivated,1630452927
29,Castro Peak,1630530187
30,Mora Tank,1632246198
31,2-cam backup,1632360799
33,Tinbeerwah,1638486731
34,Andrew Home,1638492203
35,Black Mountain,1638567978
37,Sargood,1640033121
38,Delegate,1640038529
41,Upper Red Mountain,1645142232
43,Bald Peak,1651088208
45,Doane Creek,1652991183
46,High Heaven,1652998022
47,High Compromise,1653325596
48,Pumpkin Ridge,1653330138
49,Hayward,1653339725
50,West Salem,1653350009
51,Eola Hills,1653420430
53,Sawtell,1653520001
54,Day Hill,1653522470
55,Lenhart,1655142013
56,Spirit Mountain,1655146702
57,Silverton,1655415412
60,Goat Mountain,1657146577
61,Brightwood,1657217127
63,Beaver Creek,1657229796
64,Sunlight Mountain,1657233830
65,Red Table,1657238311
66,Santa Ynez Peak,1657303945
67,Pioneer Peak,1657310573
68,Relay Ridge,1657322955
69,Lone Peak,1657327552
71,Colton,1658937402
73,Eldora,1658946501
74,Lee Hill,1658952851
75,Thorodin,1658960226
77,Oak Grove Butte,1659451135
78,Tumorrama,1661462702
79,Kangaroo,1661468772
80,Lodge Road,1661526789
81,Vail Mountain,1662571283
82,Snowbank,1662589366
83,Whale Head,1663198061
84,Memaloose,1663611026
85,No Business,1663622104
86,Cascade Water Tank,1663626686
87,Waitsburg,1668537895
89,Bald Hill,1669137836
91,Portland Round Top,1669162394
92,Mullan Substation,1669678933
93,Lyons,1669831068
99,3130 20th Street Office Roof,1677538757
100,Now Mestaaehehe,1681173791
102,Sean Dell EGW-3200,1681259248
104,Thermal Control,1681838418
105,Torrance,1682966661
106,RPV City Hall,1681430294
107,Westcreek Mountain,1684189752
108,Dell FCC Test Enclosure,1684512555
109,Premio Regression Testing,1684515457
110,Dell FCC Test Shelf,1685545100
111,Conifer Mountain,1685729600
112,Tiger West,1686184558
113,Chelan Butte,1686254255
114,Aeneas Mountain,1686282147
115,Ellensburg,1686355659
116,Cowling Ridge CC,1686601432
117,Signal Peak,1686609523
118,Davis Peak,1686614533
119,Doublehead,1686680717
121,Elephant Mountain,1686956334
122,Terranea Resort,1686958590
123,Timberline,1687879583
124,Lodge Road New,1687976291